Year,MSHA ID,Mine Name,Mine State,Mine County,MineBasin,Mine Status,MineType,Company Type,OperationType,Operating Company,Operating Company Address,Union Code,Production,AverageEmployees,LaborHours
2011,3608083,Joepa,Pennsylvania (Bituminous),Somerset,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Rosebud Mining Company,"1117 Shaw Mines Road, Meyersdale, PA 15552",,260753,30,75976
2011,3608636,Agustus,Pennsylvania (Bituminous),Somerset,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,Roxcoal Inc,"P.O. Box 149, Friedens, PA 15541",,251646,60,123415
2011,3608672,Marquise Strips,Pennsylvania (Bituminous),Somerset,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Marquise Mining Corporation,"P.O. Box 338, Blairsville, PA 15717",,103632,15,32820
2011,3608746,Quecreek #1 Mine,Pennsylvania (Bituminous),Somerset,Appalachia,Active,Underground,Operating Subsidiary,Mine only,"Roxcoal, Inc.","P.O. Box 260, Friedens, PA 15541",,450560,129,280675
2011,3609131,Sherpa Mining,Pennsylvania (Bituminous),Somerset,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"Sherpa Mining Contractors, Inc","337 Benny Road, Hooversville, PA 15936",,140069,25,63413
2011,3609260,Roytown Deep Mine,Pennsylvania (Bituminous),Somerset,Appalachia,Active,Underground,Operating Subsidiary,Mine only,"Roxcoal, Inc.","P.O. Box 149, Friedens, PA 15541",,300748,91,199950
2011,3609371,Mine 78,Pennsylvania (Bituminous),Somerset,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,Rosebud Mining Company,"301 Market Street, Kittanning, PA 16201",,847286,77,184347
2011,3609549,Kimberly Run,Pennsylvania (Bituminous),Somerset,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,"Roxcoal, Inc.","P.O. Box 149, Friedens, PA 15541",,736348,172,360895
2011,3609810,Dupstadt,Pennsylvania (Bituminous),Somerset,Appalachia,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,Heritage Coal & Natural Resour,"208 West Mud Pike Road, Rockwood, PA 15557",,104825,27,22643
2011,3609888,Wilson Creek Surface Mines,Pennsylvania (Bituminous),Somerset,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Wilson Creek Energy Llc,"334 Budfield Street, Johnstown, PA 15904",,127795,29,65694
2011,3607416,Enlow Fork Mine,Pennsylvania (Bituminous),Washington,Appalachia,Active,Underground,Operating Subsidiary,Mine only,Consol Pennsylvania Coal Compa,"2041 Pleasant Grove Road, Claysville, PA 15323",,10190255,670,1644411
2011,3609226,Neiswonger Mines,Pennsylvania (Bituminous),Washington,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Neiswonger Construction Inc.,"17592 Rt 322, Strattanville, PA 16258",,335292,42,100866
2011,3609597,Washington County Strips,Pennsylvania (Bituminous),Washington,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Amerikohl Mining Inc,"1384 State Route 711, Stahlstown, PA 15687",,224152,16,42282
2011,3609879,Lounder Mine,Pennsylvania (Bituminous),Washington,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"Mulligan Mining, Inc.","P.O. Box 24, Burgettstown, PA 15021",,141155,18,47543
2011,4003275,Mine No 3,Tennessee,Anderson,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Premium Coal Company Inc,"650 Airbase Lane, Briceville, TN 37710",,107764,29,72228
2011,4003337,Westbourne Lane Mine,Tennessee,Campbell,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Alden Resources Llc,"332 W. Cumberland Gap Parkway,, Corbin, KY 40701",,158308,35,93114
2011,4003338,White Oak Job,Tennessee,Campbell,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Mountainside Coal Inc,"7692 S. Hwy 25w, Williamsburg, KY 40769",,185676,53,150964
2011,4003392,Davis Creek Strip,Tennessee,Campbell,Appalachia,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,"Tackett Creek Mining, Inc.","111 Mill Creek Road, Pathfork, KY 40863",,127865,30,59734
2011,4003398,Shm-75,Tennessee,Campbell,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Contract Highwall Mi,"76 George Road, Betsy Layne, KY 41605",,113408,8,13506
2011,4003365,Double Mountain Mine,Tennessee,Claiborne,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,"Kopper Glo Mining, Llc","P.O. Box 203, Clairfield, TN 37715",,213337,46,106630
2011,4003366,Strip #1,Tennessee,Claiborne,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"Kopper Glo Mining, Llc","P.O. Box 203, Clairfield, TN 37715",,138985,28,73113
2011,4102840,San Miguel Lignite Mine,Texas,Atascosa,Interior,Active,Surface,Contractor,Mine only,"Kiewit Mining Group, Inc.","P.O. Box 399, Jourdanton, TX 78026",,3204153,225,536529
2011,4101192,Big Brown Strip,Texas,Freestone,Interior,Active,Surface,Operating Subsidiary,Mine only,Luminant Mining Company Llc,"P.O. Box 948, Fairfield, TX 75840",INTE,1837202,142,319767
2011,4104802,Turlington Strip Mine,Texas,Freestone,Interior,Permanently abandoned,Surface,Indepedent Producer Operator,Mine only,Luminant Mining Company Llc,"P.O. Box 948, Fairfield, TX 75840",INTE,1815582,167,245662
2011,4103101,South Hallsville No 1 Mine,Texas,Harrison,Interior,Active,Surface,Operating Subsidiary,Mine only,The Sabine Mining Company,"6501 Farm Road 968 West, Hallsville, TX 75650",,4041305,303,647000
2011,4102776,Sulphur Springs Strip,Texas,Hopkins,Interior,Active,Surface,Operating Subsidiary,Mine only,Luminant Mining Company Llc,"P.O. Box 1636, Mt. Pleasant, TX 75456",INTE,1267357,134,305018
2011,4104085,Three Oaks,Texas,Lee,Interior,Active,Surface,Operating Subsidiary,Mine only,Luminant Mining Company Llc,"7207 W Fm 696, Elgin, TX 78621",INTE,7192404,276,586734
2011,4103164,Jewett Mine,Texas,Leon,Interior,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Texas Westmoreland Coal Co.,"P.O. Box 915, Jewett, TX 75846",,4221546,350,755176
2011,4104586,Kosse Strip,Texas,Limestone,Interior,Active,Surface,Indepedent Producer Operator,Mine only,Luminant Mining Company Llc,"4731 East Hwy 7, Kosse, TX 76653",INTE,8630793,328,698222
2011,4102632,Beckville Strip,Texas,Panola,Interior,Active,Surface,Operating Subsidiary,Mine only,Luminant Mining Company Llc,"P.O. Box 1359, Tatum, TX 75691",INTE,4517856,362,808368
2011,4103659,Tatum Strip Mine,Texas,Panola,Interior,Active,Surface,Operating Subsidiary,Mine only,Luminant Mining Company Llc,"P.O. Box 1359, Tatum, TX 75691",INTE,2537285,109,239123
2011,4103428,Calvert Mine,Texas,Robertson,Interior,Active,Surface,Operating Subsidiary,Mine only,Walnut Creek Mining Company,"P.O. Box H, Bremond, TX 76629",,1826445,104,225249
2011,4103660,Oak Hill Strip,Texas,Rusk,Interior,Active,Surface,Operating Subsidiary,Mine only,Luminant Mining Company Llc,"P.O. Box 1359, Tatum, TX 75691",INTE,3227650,264,583725
2011,4103658,Winfield South Strip,Texas,Titus,Interior,Active,Surface,Operating Subsidiary,Mine only,Luminant Mining Co Llc,"P.O. Box 1636, Mt. Pleasant, TX 75455",INTE,1584019,172,380284
2011,4201566,Skyline Mine #3,Utah,Carbon,Western,Active,Underground,Operating Subsidiary,Mine only,Canyon Fuel Company Llc,"Hc 35 Box 380, Helper, UT 84526",,2948091,260,536897
2011,4201890,Dugout Canyon Mine,Utah,Carbon,Western,Active,Underground,Indepedent Producer Operator,Mine only,Canyon Fuel Company Llc,"P.O. Box 1029, Wellington, UT 84542",,2395020,211,449902
2011,4202074,Horizon Mine,Utah,Carbon,Western,Active,Underground,Indepedent Producer Operator,Mine only,Hidden Splendor Resources Inc,"3266 South 125 West, Price, UT 84501",,370150,133,310604
2011,4202233,West Ridge Mine,Utah,Carbon,Western,Active,Underground,Operating Subsidiary,Mine only,West Ridge Resources Inc,"P.O. Box 910, East Carbon, UT 84520",,3565890,302,769980
2011,4202241,Lila Canyon,Utah,Carbon,Western,Active,Underground,Operating Subsidiary,Mine only,"Utah American Energy, Inc.","P.O. Box 910, East Carbon, UT 84520",,156201,22,52516
2011,4200121,Deer Creek Mine,Utah,Emery,Western,Active,Underground,Operating Subsidiary,Mine only,Energy West Mining Company,"P.O. Box 310, Huntington, UT 84528",United Mine Workers of America,3142701,328,635185
2011,4202335,Castle Valley Mine #4,Utah,Emery,Western,Active,Underground,Indepedent Producer Operator,Mine only,Castle Valley Mining Llc,"P.O. Box 475, Huntington, UT 84528",,571956,54,107081
2011,4200089,Sufco,Utah,Sevier,Western,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Canyon Fuel Company Llc,"597 South Sr24, Salina, UT 84654",,6498011,380,778580
2011,4403658,No 2 Surface,Virginia,Buchanan,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"Twin Star Mining, Inc.","P.O. Box 469, Williamson, WV 25661",,242583,48,143117
2011,4404856,Buchanan Mine #1,Virginia,Buchanan,Appalachia,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Consolidation Coal Company,"P.O. Box 230, Mavisdale, VA 24627",,5654353,735,1736890
2011,4406499,Dominion No 7,Virginia,Buchanan,Appalachia,Active,Underground,Contractor,Mine only,Dominion Coal Corporation,"P.O. Box 70, Vansant, VA 24656",,226032,88,245748
2011,4406685,Paw Paw Mine,Virginia,Buchanan,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,Banner Blue Coal Company,"P.O. Box 458, Big Rock, VA 24603",,278811,91,283824
2011,4406718,Mine No. 26,Virginia,Buchanan,Appalachia,Active,Underground,Contractor,Mine only,Dominion Coal Corporation,"P.O. Box 70, Vansant, VA 24656",,153730,40,98443
2011,4406759,Mine No. 36,Virginia,Buchanan,Appalachia,Active,Underground,Contractor,Mine only,Dominion Coal Corporation,"P.O. Box 70, Vansant, VA 24656",,160995,87,267433
2011,4406949,Lovers Gap #3,Virginia,Buchanan,Appalachia,"Active, men working, not producing",Surface,Operating Subsidiary,Mine only,Paramont Coal Company Virginia,"5703 Crutchfield Dr, Norton, VA 24273",,112209,27,40574
2011,4407046,Mine #2,Virginia,Buchanan,Appalachia,Active,Underground,Operating Subsidiary,Mine only,"Hanna Coal Co., Inc.","1030 Begum Road, Grundy, VA 24614",,123531,47,134583
2011,4407199,Laurel Branch Surface,Virginia,Buchanan,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Clintwood Elkhorn Mining Inc,"23956 Hwy 194 E, Fedscreek, KY 41524",,534017,66,181120
2011,4407211,No 2,Virginia,Buchanan,Appalachia,Active,Underground,Contractor,Mine only,Cedar Creek Coal Llc,"P.O. Box 1030, Phelp, KY 41553",,134039,24,55618
2011,4407220,Mine No. 44,Virginia,Buchanan,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,Dominion Coal Corporation,"P.O. Box 70, Vansant, VA 24656",,164396,63,142202
2011,4407225,Huffman Fk.,Virginia,Buchanan,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Surface Minerals Company,"P.O. Box 458, Big Rock, VA 24603",,376807,34,99286
2011,4407254,3 Pole,Virginia,Buchanan,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Surface Minerals Company,"P.O. Box 458, Big Rock, VA 24603",,259781,30,96562
2011,4407257,Butcher Knife Surface Mine,Virginia,Buchanan,Appalachia,"Active, men working, not producing",Surface,Indepedent Producer Operator,Mine only,Paramont Coal Company Virginia,"5703 Crutchfield Drive, Norton, VA 24273",,122750,4,9835
2011,4406864,Cherokee Mine,Virginia,Dickenson,Appalachia,Active,Underground,Operating Subsidiary,Mine only,Dickenson-Russell Coal Co Llc,"5703 Crutchfield Dr, Norton, VA 24273",United Mine Workers of America,244378,101,202051
2011,4407034,No 1 Strip,Virginia,Dickenson,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Virginia Fuel Corporation,"P.O. Box 1010, Wise, VA 24293",,159792,35,92335
2011,4407146,Roaring Fork No 4,Virginia,Dickenson,Appalachia,Active,Underground,Operating Subsidiary,Mine only,Dickenson-Russell Coal Co Llc,"7546 Gravel Lick Road, Cleveland, VA 24225",,170641,36,80526
2011,4407223,Deep Mine 41,Virginia,Dickenson,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,Paramont Coal Company Virginia,"5703 Crutchfield Drive, Norton, VA 24273",,261189,94,209456
2011,4407272,Smith Gap Surface Mine,Virginia,Dickenson,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Paramont Coal Company Virginia,"5703 Crutchfield Drive, Norton, VA 24273",,171626,44,72074
2011,4407041,Shop Hollow Mine No 1 Highwall,Virginia,Giles,Appalachia,Active,Surface,Contractor,Mine only,Appalachian Highwall Mining Ll,"P.O. Box 708, Salyersville, KY 41465",,151260,5,12100
2011,4407253,Darby Road Mine #1,Virginia,Lee,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Virginia Fuels Corporation,"Route 1, Box 85, Keokee, VA 24265",,197873,46,126227
2011,4407275,Wilson #2,Virginia,Lee,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,Virginia Fuel Corpor,"P.O. Box 85, Keokee, VA 24265",,185288,42,98507
2011,4406444,Laurel Mountain,Virginia,Russell,Appalachia,Active,Underground,Operating Subsidiary,Mine only,Dickenson-Russell Coal Co Llc,"5703 Crutchfield Dr, Norton, VA 24273",United Mine Workers of America,313618,92,191766
2011,4407123,Deep Mine #35,Virginia,Russell,Appalachia,Active,Underground,Operating Subsidiary,Mine only,Paramont Coal Company Virginia,"5703 Crutchfield Drive, Norton, VA 24273",,308010,66,144669
2011,4407281,Kennedy #3 Surface,Virginia,Russell,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Knox Creek Coal Corp,"5703 Crutchfield Drive, Norton, VA 24273",,120582,25,52066
2011,4406804,Tiller No 1,Virginia,Tazewell,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,Knox Creek Coal Corp.,"5703 Crutchfield Drive, Norton, VA 24273",,456159,93,222591
2011,4407172,Virginia Point No. 1 Surface M,Virginia,Tazewell,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"Extra Energy, Inc.","640 Clover Dew Dairy Road, Princeton, WV 24740",,601946,91,277666
2011,4405217,No 1 Strip,Virginia,Wise,Appalachia,Permanently abandoned,Surface,Indepedent Producer Operator,Mine only,Humphreys Enterprises Inc,"P.O. Box 668, Norton, VA 24273",,142678,26,54444
2011,4405559,Mine No 1,Virginia,Wise,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,Bluff Spur Coal Corporation,"P.O. Box 1226, Norton, VA 24273",,399429,51,136939
2011,4406045,No 5 Strip,Virginia,Wise,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,Humphreys Enterprises Inc,"P.O. Box 668, Norton, VA 24273",,245854,25,56861
2011,4406084,No 27 Strip,Virginia,Wise,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"Humphreys Enterprises, Inc.","P.O. Box 668, Norton, VA 24273",,327315,27,62173
2011,4406544,Sawmill Hollow #1,Virginia,Wise,Appalachia,Active,Surface,Operating Subsidiary,Mine only,A & G Coal Corporation,"P.O. Box 1010, Wise, VA 24293",,173253,47,121466
2011,4406545,No. 28 Strip,Virginia,Wise,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,"Humphreys Enterprises, Inc.","P.O. Box 668, Norton, VA 24273",,264436,26,58236
2011,4406929,Deep Mine #26,Virginia,Wise,Appalachia,Active,Underground,Operating Subsidiary,Mine only,Paramont Coal Company Virginia,"5703 Crutchfield Dr, Norton, VA 24273",,1264570,258,607000
2011,4406992,Strip #12,Virginia,Wise,Appalachia,Active,Surface,Operating Subsidiary,Mine only,A & G Coal Corporation,"P.O. Box 1010, Wise, VA 24293",,498533,79,208420
2011,4407001,Strip #14,Virginia,Wise,Appalachia,Active,Surface,Operating Subsidiary,Mine only,A & G Coal Corporation,"P.O. Box 1010, Wise, VA 24293",,259341,59,148370
2011,4407052,Mine No. 4,Virginia,Wise,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,"Dorchester Enterprises, Inc.","P.O. Box 2560, Wise, VA 24293",,460745,87,230126
2011,4407081,No. 2,Virginia,Wise,Appalachia,Active,Underground,Contractor,Mine only,"Regent Allied Carbon Energy, I","P.O. Box 1038, Grundy, VA 24614",,126222,43,96487
2011,4407087,Mine No 2,Virginia,Wise,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,Big Laurel Mining Corporation,"P.O. Box 2560, Wise, VA 24293",,384107,63,173977
2011,4407124,True Energy Fuels Mine No. 2,Virginia,Wise,Appalachia,Active,Surface,Indepedent Producer Operator,Mine only,True Energy Fuels Llc,"7652 South Fork Road, Pound, VA 24279",,115529,30,64286
2011,4407127,Derby Wilson Mine,Virginia,Wise,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,Guest Mountain Mining Corporat,"5703 Crutchfield Drive, Norton, VA 24273",,352985,57,137374
2011,4407129,Deep Mine #25,Virginia,Wise,Appalachia,Active,Underground,Operating Subsidiary,Mine only,Paramont Coal Compan,"5703 Crutchfield Drive, Norton, VA 24273",,428720,102,231887
2011,4407137,No. 2,Virginia,Wise,Appalachia,Active,Underground,Contractor,Mine only,"Patriot Mining, Llc","P.O. Box 1038, Grundy, VA 24614",,266866,46,105653
2011,4407138,Mine No 5,Virginia,Wise,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,Guest Mountain Mining Corporat,"5703 Crutchfield Drive, Norton, VA 24273",,166256,46,111208
2011,4407150,Mine No. 1,Virginia,Wise,Appalachia,"Active, men working, not producing",Underground,Operating Subsidiary,Mine only,Osaka Mining Corporation,"153 West Main St., Abingdon, VA 24210",,298618,83,220268
2011,4407156,#3,Virginia,Wise,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,Nine Mile Mining Inc.,"P.O. Box 1010, Wise, VA 24293",,163355,67,170741
2011,4407163,88 Strip,Virginia,Wise,Appalachia,Active,Surface,Operating Subsidiary,Mine only,Paramont Coal Company Virginia,"5703 Crutchfield Drive, Norton, VA 24273",,476845,75,153209
2011,4407186,Looney Creek Taggart Mine,Virginia,Wise,Appalachia,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,Mill Branch Coal Corporation,"P.O. Box 2560, Wise, VA 24293",,129896,49,124277
2011,4407189,Low Splint A Mine,Virginia,Wise,Appalachia,Active,Underground,Indepedent Producer Operator,Mine only,Mill Branch Coal Corporation,"5703 Crutchfield Drive, Norton, VA 24273",,236690,45,98895
